"","Distance.Acadia+national+park","Distance.Congaree+National+Park","Distance.Voyageurs+national+park","Distance.Cuyahoga+Valley+national+park","Distance.Great+Smoky+Mountains+National+Park","Distance.Shenandoah+national+park","Distance.Mammoth+Cave+national+park","Distance.Cape+Cod+national+park","Distance.Isle+Royale+national+park","Distance.Dry+Tortugas+national+park"
"Distance.Acadia+national+park",0,1195.85,1499.43,919.2,1190.51,847.54,1353.34,376.16,1252.08,1928.64
"Distance.Congaree+National+Park",1198.24,0,1431.14,599.09,205.14,368.99,484.55,981.33,1286.91,782.33
"Distance.Voyageurs+national+park",1498.85,1431.43,0,962.78,1185.01,1326.98,1008.14,1683.44,403.18,2149.47
"Distance.Cuyahoga+Valley+national+park",917.79,599.25,963.22,0,530.39,399.72,435.47,718.33,755.68,1378.12
"Distance.Great+Smoky+Mountains+National+Park",1189.61,204.4,1184.66,520.13,0,337.94,216.9,988,1040.43,972.4
"Distance.Shenandoah+national+park",889.9,381.76,1339.15,411.54,349.62,0,552.51,688.3,1167.38,1143.26
"Distance.Mammoth+Cave+national+park",1350.47,483.79,1008.66,433.96,216.3,542.34,0,1125.72,864.43,1153.31
"Distance.Cape+Cod+national+park",374.46,991.69,1592.04,736.13,988.56,643.38,1127.17,0,1344.69,1724.48
"Distance.Isle+Royale+national+park",1252.52,1288.75,403.99,757.75,1042.33,1158.62,865.46,1345.47,0,2003.78
"Distance.Dry+Tortugas+national+park",1918.7,783.48,2151.17,1378.92,973.59,1131.47,1153.95,1716.95,2004.08,0
